Classe Geral,Classe específica,Código IFES,"
ASSUNTO",FASE CORRENTE,FASE INTER- MEDIÁRIA,"
DESTINAÇÃO FINAL","
OBSERVAÇÕES"
144,1446         ,144.6        ,144.6         MONITORIAS. ESTÁGIOS NÃO OBRIGATÓRIOS,,,,
144,14461        ,144.61       ,144.61        MONITORIAS,,,,
144,144611       ,144.611      ,144.611       PROCESSO DE SELEÇÃO,    3   anos,2 anos,,Eliminação
144,144612       ,144.612      ,"144.612        INDICAÇÃO, ACEITE E SUBSTITUIÇÃO DE MONITOR E
ORIENTADOR",    3  anos,2 anos, Eliminação,
144,144613       ,144.613      ,144.613       AVALIAÇÃO,    3  anos,2 anos,"Guarda
  Permanente","Eliminar os relatórios parciais, cujas informações encontram-se recapituladas nos relatórios finais."
144,14462        ,144.62       ,144.62         ESTÁGIOS NÃO OBRIGATÓRIOS,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",2 anos, Eliminação,
144,14463        ,144.63       ,144.63        FREQUÊNCIA DE MONITORES E ESTAGIÁRIOS,    5  anos,47 anos, Eliminação,
144,1447         ,144.7        ,"144.7          REGIME DISCIPLINAR DOS ALUNOS: PENALIDADES
(ADVERTÊNCIA OU REPREENSÃO, SUSPENSÃO E EXPULSÃO)","Até a conclusão 
do
caso",10 anos,"           Guarda
Permanente","A produção, manuseio, consulta, transmissão, manutenção e guarda de dados, documentos e informações relativos à vida privada, à honra e a imagem dos alunos deverão observar medidas especiais de segurança, conforme legislação em  vigor."
190,190          ,190          ,"190            OUTROS ASSUNTOS REFERENTES AO ENSINO SUPERIOR





",,,,
200,200          ,200          ,200           PESQUISA,,,,
210,210          ,210          ,210           NORMATIZAÇÃO. REGULAMENTAÇÃO,Enquanto vigora,-,"Guarda
Permanente",
220,220          ,220          ,220           PROGRAMAS DE PESQUISA,,,,
221,221          ,221          ,221           PROPOSIÇÃO,Enquanto vigora,5 anos,"Guarda
Permanente",Eliminar as propostas não aprovadas após 2 anos.
222,222          ,222          ,222           AVALIAÇÃO. RESULTADOS,     5  anos,5 anos,"Guarda
Permanente","Eliminar os relatórios parciais, cujas informações encontram-se recapituladas nos relatórios finais."
230,230          ,230          ,230           PROJETOS DE PESQUISA,,,,
231,231          ,231          ,231            PROPOSIÇÃO,Enquanto vigora,5 anos,"Guarda
Permanente",Eliminar as propostas não aprovadas após 2 anos.
232,232          ,232          ,232           AVALIAÇÃO. RESULTADOS,     5  anos,5 anos,"Guarda
Permanente","Eliminar os relatórios parciais, cujas informações encontram-se recapituladas nos relatórios finais."
240,240          ,240          ,240           INICIAÇÃO CIENTÍFICA,,,,
241,241          ,241          ,241           PROCESSO DE SELEÇÃO,     2  anos,2 anos,      Eliminação,
242,242          ,242          ,242           CADASTRAMENTO DE BOLSISTAS,     5  anos,-,     Eliminação,
243,243          ,243          ,243           FREQUÊNCIA DE BOLSISTAS,     5  anos,47 anos,    Eliminação,
244,244          ,244          ,244           AVALIAÇÃO DE BOLSISTAS,     2  anos,2 anos," Guarda
   Permanente","Eliminar os relatórios parciais, cujas informações encontram-se recapituladas nos relatórios finais."
250,250          ,250          ,250            TRANSFERÊNCIA E INOVAÇÃO TECNOLÓGICA,,,,
251,251          ,251          ,251            REGISTRO DA PROPRIEDADE INTELECTUAL,,,,
251,2511         ,251.1        ,251.1          APOIO À REDAÇÃO DE PATENTES,Enquanto vigora,5 anos,"Guarda
  Permanente",
251,2512         ,251.2        ,251.2          APRESENTAÇÃO E ACOMPANHAMENTO,     5  anos,5 anos,"            Guarda
Permanente",
252,252          ,252          ,252             TRANSFERÊNCIA DE TECNOLOGIA,,,,
252,2521         ,252.1        ,252.1          INFORMAÇÕES TÉCNICAS,Até a celebração do contrato,5 anos,  Eliminação,
252,2522         ,252.2        ,252.2          CELEBRAÇÃO E ACOMPANHAMENTO DE CONTRATOS,Enquanto vigora,5 anos,"Guarda
  Permanente",Eliminar o processo de averbação junto ao INPI após a confirmação e recebimento do certificado de averbação.
252,2523         ,252.3        ,"252.3         PARCERIAS PARA EXPLORAÇÃO E DESENVOLVIMENTO DE
INOVAÇÃO TECNOLÓGICA",Enquanto vigora,5 anos,"Guarda
Permanente",
253,253          ,253          ,253             DIVULGAÇÃO DE INFORMAÇÃO TECNOLÓGICA,,,,
253,2531         ,253.1        ,253.1          INFORMAÇÃO TECNOLÓGICA INSTITUCIONAL,      5  anos,5 anos,"Guarda
Permanente",
253,2532         ,253.2        ,253.2          AVALIAÇÃO DA TRANSFERÊNCIA E INOVAÇÃO TECNOLÓGICA,     5  anos,5 anos,"Guarda
Permanente",
254,254          ,254          ,254            PROGRAMAS DE INCUBADORAS DE EMPRESAS,,,,
254,2541         ,254.1        ,254.1          PROSPECÇÃO DE PROJETOS,Enquanto vigora,5 anos,"Guarda
Permanente",
254,2542         ,254.2        ,254.2          IMPLANTAÇÃO E ACOMPANHAMENTO DO PROGRAMA,,,,
254,25421        ,254.21       ,254.21        PROCESSO DE SELEÇÃO,Enquanto vigora,5 anos,"Guarda
Permanente",Eliminar os documentos após 2 anos do indeferimento.
254,25422        ,254.22       ,254.22        ADMISSÃO,Enquanto vigora,5 anos,"Guarda
Permanente",
254,25423        ,254.23       ,254.23        CAPACITAÇÃO E DESENVOLVIMENTO,Enquanto vigora,5 anos,"Guarda
Permanente",
254,25424        ,254.24       ,254.24        AVALIAÇÃO,Enquanto vigora,5 anos,"Guarda
Permanente",
260,260          ,260          ,260           ÉTICA EM PESQUISA,,,,
261,261          ,261          ,261            PESQUISA EM SERES HUMANOS,,,,
261,2611         ,261.1        ,261.1         COMITÊ DE ÉTICA,Enquanto vigora,5 anos,"Guarda
Permanente","A produção, manuseio, consulta, transmissão, manutenção e guarda de dados, documentos e informações relativos à vida privada, à honra e a imagem dos seres humanos que participam das pesquisas, deverão observar medidas especiais de segurança, conforme legislação em vigor."
263,2632         ,263.2        ,263.2         REGISTRO DA PESQUISA,Enquanto vigora,5 anos,"Guarda
Permanente","A produção, manuseio, consulta, transmissão, manutenção e guarda de dados, documentos e informações relativos aos organismos geneticamente modificados e seus derivados, deverão observar medidas especiais de segurança, conforme legislação em vigor."
290,290          ,290          ,290           OUTROS ASSUNTOS REFERENTES À PESQUISA,,,,
300,300          ,300          ,300           EXTENSÃO,,,,
310,310          ,310          ,310           NORMATIZAÇÃO. REGULAMENTAÇÃO,Enquanto   vigora,-,"Guarda
Permanente",
320,320          ,320          ,320           PROGRAMAS DE EXTENSÃO,,,,
321,321          ,321          ,321           PROPOSIÇÃO,Enquanto  vigora,5 anos,"Guarda
Permanente",Eliminar as propostas não aprovadas após 2 anos.
322,322          ,322          ,322            AVALIAÇÃO. RESULTADOS,    5  anos,5 anos,"Guarda
Permanente","Eliminar os relatórios parciais, cujas informações encontram-se recapituladas nos relatórios finais."
330,330          ,330          ,330            PROJETOS DE EXTENSÃO,,,,
331,331          ,331          ,331            PROPOSIÇÃO,Enquanto vigora,5 anos,"Guarda
Permanente",Eliminar as propostas não aprovadas após 2 anos.
344,344          ,344          ,344            FREQUÊNCIA,"Até a conclusão 
do
curso",1 ano,   Eliminação,
345,345          ,345          ,345            EMISSÃO DE CERTIFICADO,     5  anos,5 anos,"Guarda
Permanente",Eliminar os certificados não entregues após 2 anos da emissão.
346,346          ,346          ,346           AVALIAÇÃO. RESULTADOS,     5  anos,5 anos,"Guarda
Permanente","Eliminar os relatórios parciais, cujas informações encontram-se recapituladas nos relatórios finais."
350,350          ,350          ,350           EVENTOS DE EXTENSÃO,,,,
351,351          ,351          ,351           PROPOSIÇÃO,Enquanto vigora,5 anos,"Guarda
Permanente",Eliminar as propostas não aprovadas após 2 anos.
352,352          ,352          ,352           DIVULGAÇÃO,Enquanto vigora,5 anos,"Guarda
Permanente",Guardar apenas um exemplar do material de cada evento.
353,353          ,353          ,353           INSCRIÇÃO,"Até a conclusão
 do
evento",1 ano,     Eliminação,
354,354          ,354          ,354           FREQUÊNCIA,"Até a conclusão 
do
evento",1 ano,    Eliminação,
355,355          ,355          ,355            EMISSÃO DE CERTIFICADO,     5   anos,5 anos,"Guarda
Permanente",Eliminar os certificados não entregues após 2 anos da emissão.
356,356          ,356          ,356            AVALIAÇÃO. RESULTADOS,     5  anos,5 anos,"Guarda
Permanente","Eliminar os relatórios parciais, cujas informações encontram-se recapituladas nos relatórios finais."
360,360          ,360          ,360            PRESTAÇÃO DE SERVIÇO,,,,
361,361          ,361          ,361           PROPOSIÇÃO,Enquanto vigora,5 anos,"Guarda
Permanente",Eliminar as propostas não aprovadas após 2 anos.
362,362          ,362          ,362            AVALIAÇÃO. RESULTADOS,       5  anos,5 anos,"Guarda
Permanente","Eliminar os relatórios parciais, cujas informações encontram-se recapituladas nos relatórios finais."
370,370          ,370          ,370            DIFUSÃO E DIVULGAÇÃO DA PRODUÇÃO ACADÊMICA,,,,
371,371          ,371          ,371            PROPOSIÇÃO,Enquanto vigora,5 anos,"Guarda
Permanente",Eliminar as propostas não aprovadas após 2 anos.
372,372          ,372          ,372           AVALIAÇÃO. RESULTADOS,     5   anos,5 anos,"Guarda
Permanente","Eliminar os relatórios parciais, cujas informações encontram-se recapituladas nos relatórios finais."
380,380          ,380          ,380           PROGRAMA INSTITUCIONAL DE BOLSAS DE EXTENSÃO,,,,
381,381          ,381          ,381            PROCESSO DE SELEÇÃO,     3  anos,2 anos,"Guarda
Permanente",
382,382          ,382          ,"382           INSCRIÇÃO E SELEÇÃO DE BOLSISTAS
",       3  anos,2 anos,  Eliminação,
383,383          ,383          ,383             FREQUÊNCIA DE BOLSISTAS,       5  anos,47 anos,   Eliminação,
384,384          ,384          ,384            AVALIAÇÃO. RESULTADOS,      3  anos,2 anos,"Guarda
Permanente","Eliminar os relatórios parciais, cujas informações encontram-se recapituladas nos relatórios finais."
390,390          ,390          ,390            OUTROS ASSUNTOS REFERENTES À EXTENSÃO,,,,
400,400          ,400          ,400            EDUCAÇÃO BÁSICA E PROFISSIONAL,,,,
410,410          ,410          ,410            NORMATIZAÇÃO. REGULAMENTAÇÃO,Enquanto vigora,-,"Guarda
Permanente",
420,420          ,420          ,420            EDUCAÇÃO INFANTIL: CRECHES E PRÉ-ESCOLAR,,,,
421,421          ,421          ,"421            CONCEPÇÃO, ORGANIZAÇÃO E FUNCIONAMENTO DA EDUCAÇÃO INFANTIL",,,,
421,4211         ,421.1        ,421.1         PROJETO PEDAGÓGICO,Enquanto vigora,-,"Guarda
Permanente",
421,4212         ,421.2        ,421.2         AUTORIZAÇÃO PARA FUNCIONAMENTO,"Até a homologação
do ato",5 anos,"Guarda
Permanente",
422,422          ,422          ,422            PLANEJAMENTO E ORGANIZAÇÃO DAS ATIVIDADES PEDAGÓGICAS,Enquanto vigora,-,"Guarda
Permanente",
423,423          ,423          ,423            PLANEJAMENTO DA ATIVIDADE ESCOLAR,Enquanto vigora,-,"Guarda
Permanente",
424,424          ,424          ,424            REUNIÃO DE PROFESSORES,    5  anos,15 anos,"Guarda
Permanente","A produção, manuseio, consulta, transmissão, manutenção e guarda de dados, documentos e informações relativos à vida privada, à honra e a imagem dos alunos deverão observar medidas especiais de segurança, conforme legislação em  vigor."
425,425          ,425          ,425            VIDA ESCOLAR DOS ALUNOS DA EDUCAÇÃO INFANTIL,,,,
425,4251         ,425.1        ,425.1          INGRESSO,,,,
425,42511        ,425.11       ,425.11        PROCESSO DE SELEÇÃO,"Até a homologação
do
 evento",1 ano,Eliminação,
425,425111       ,425.111      ,425.111       EDITAL. RESULTADO FINAL,"Até a homologação
do
evento",1 ano,"Guarda
Permanente",
425,42512        ,425.12       ,425.12         MANDADO JUDICIAL,      5  anos,-,"Guarda
Permanente",
425,4252         ,425.2        ,425.2          REGISTRO ESCOLAR,,,,
425,42521        ,425.21       ,425.21        MATRÍCULA,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",5 anos,Eliminação,
425,4259         ,425.9        ,425.9         OUTROS ASSUNTOS REFERENTES À VIDA ESCOLAR DOS ALUNOS DA EDUCAÇÃO INFANTIL,,,,
425,42591        ,425.91       ,425.91         FORMATURA,     5 anos,-,Eliminação,
430,430          ,430          ,430           ENSINO FUNDAMENTAL (INCLUSIVE EDUCAÇÃO DE JOVENS E ADULTOS),,,,
431,431          ,431          ,"431           CONCEPÇÃO, ORGANIZAÇÃO E FUNCIONAMENTO DO ENSINO FUNDAMENTAL",,,,
431,4311         ,431.1        ,431.1          PROJETO PEDAGÓGICO,Enquanto vigora,-,"Guarda
Permanente",
431,4312         ,431.2        ,431.2         AUTORIZAÇÃO PARA FUNCIONAMENTO,"Até a homologação
do ato",5 anos,"Guarda
Permanente",
432,432          ,432          ,432           PLANEJAMENTO E ORGANIZAÇÃO CURRICULAR,,,,
432,4321         ,432.1        ,432.1         REFORMULAÇÃO CURRICULAR,Enquanto vigora,-,"Guarda
Permanente",
432,4322         ,432.2        ,432.2         DISCIPLINAS: PROGRAMAS DIDÁTICOS,Enquanto vigora,-,"Guarda
Permanente",
433,433          ,433          ,433           PLANEJAMENTO DA ATIVIDADE ESCOLAR,Enquanto vigora,-,"Guarda
Permanente",
434,434          ,434          ,434           CONSELHOS DE CLASSE,      5  anos,15 anos,"Guarda
Permanente","A produção, manuseio, consulta, transmissão, manutenção e guarda de dados, documentos e informações relativos à vida privada, à honra e a imagem dos alunos deverão observar medidas especiais de segurança, conforme legislação em  vigor."
435,435          ,435          ,435           VIDA ESCOLAR DOS ALUNOS DO ENSINO FUNDAMENTAL,,,,
435,4351         ,435.1        ,435.1         INGRESSO,,,,
435,43511        ,435.11       ,435.11        PROCESSO DE SELEÇÃO,,,,
435,435111       ,435.111      ,435.111       PLANEJAMENTO. ORIENTAÇÕES,Até a homologação do                        evento ,1 ano,"Guarda
Permanente",
435,435112       ,435.112      ,435.112       INSCRIÇÕES,"Até a homologação
do 
evento",1 ano,   Eliminação,
435,435113       ,435.113      ,435.113        CONTROLE DE APLICAÇÃO DE PROVAS,"Até a homologação
do 
evento",1 ano,  Eliminação,
435,435114       ,435.114      ,435.114        CORREÇÃO DE PROVAS,"Até a homologação
do 
evento",1 ano, Eliminação,
435,435115       ,435.115      ,435.115       RECURSOS,"Até a homologação
do 
evento",1 ano,"Guarda
   Permanente",
435,435116       ,435.116      ,435.116        RESULTADOS,"Até a homologação
do 
evento",1 ano,"Guarda
  Permanente",
435,43512        ,435.12       ,435.12         TRANSFERÊNCIA,       5 anos,-,"Guarda
  Permanente",Eliminar os documentos após 2 anos do indeferimento.
435,43513        ,435.13       ,435.13        MANDADO JUDICIAL,      5  anos,-,"Guarda
  Permanente",
435,4352         ,435.2        ,435.2         REGISTRO ESCOLAR,,,,
435,43521        ,435.21       ,435.21        MATRÍCULA,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",5 anos,Eliminação,Eliminar os documentos após 2 anos do indeferimento.
435,435211       ,435.211      ,"435.211       CANCELAMENTO DE MATRÍCULA: POR DESISTÊNCIA
(VOLUNTÁRIA) OU POR JUBILAÇÃO (COMPULSÓRIA)",      5  anos,25 anos,Eliminação,
435,4353         ,435.3        ,435.3         AVALIAÇÃO ESCOLAR,,,,
435,43531        ,435.31       ,435.31        PROVAS. EXAMES. TRABALHOS,"Devolução ao aluno
após o registro das notas",-,-,Eliminar os documentos não devolvidos ao final do ano letivo.
435,43532        ,435.32       ,"435.32        REGISTRO DE CONTEÚDO PROGRAMÁTICO MINISTRADO, RENDIMENTO E FREQUÊNCIA",     10 anos,10 anos,    Eliminação,
435,4354         ,435.4        ,435.4         DOCUMENTAÇÃO ESCOLAR,,,,
435,43541        ,435.41       ,435.41        HISTÓRICO ESCOLAR,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",5 anos,"Guarda
Permanente","Eliminar as versões parciais, cujas informações encontram-se recapituladas na versão integral do histórico escolar."
435,43542        ,435.42       ,435.42        EMISSÃO DE CERTIFICADO,      5  anos,5 anos,"Guarda
Permanente",Eliminar os certificados não entregues 2 anos após a emissão.
435,43543        ,435.43       ,"435.43        ASSENTAMENTOS INDIVIDUAIS DOS ALUNOS (DOSSIÊS
DOS ALUNOS)","Enquanto o aluno
mantiver o vínculo com a instituição de ensino",*,   Eliminação,*O prazo total de guarda dos documentos é de 100 anos.
435,4355         ,435.5        ,435.5         REGIME DE EXERCÍCIO DOMICILIAR,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",2 anos,   Eliminação,
435,4356         ,435.6        ,"435.6         REGIME DISCIPLINAR DOS ALUNOS: PENALIDADES
(ADVERTÊNCIA OU REPREENSÃO, SUSPENSÃO E EXPULSÃO)","Até a conclusão do
       caso ",15 anos,"Guarda
Permanente","A produção, manuseio, consulta, transmissão, manutenção e guarda de dados, documentos e informações relativos à vida privada, à honra e a imagem dos alunos deverão observar medidas especiais de segurança, conforme legislação em vigor."
435,4359         ,435.9        ,435.9         OUTROS ASSUNTOS REFERENTES À VIDA ESCOLAR DOS ALUNOS DO ENSINO FUNDAMENTAL,,,,
435,43591        ,435.91       ,435.91        FORMATURA,       5  anos,-,    Eliminação,
440,440          ,440          ,440           ENSINO MÉDIO (INCLUSIVE EDUCAÇÃO DE JOVENS E ADULTOS),,,,
441,441          ,441          ,"441           CONCEPÇÃO, ORGANIZAÇÃO E FUNCIONAMENTO DO ENSINO MÉDIO",,,,
441,4411         ,441.1        ,441.1         PROJETO PEDAGÓGICO,Enquanto vigora,-,"Guarda
Permanente",
441,4412         ,441.2        ,441.2          AUTORIZAÇÃO PARA FUNCIONAMENTO,"Até a homologação
      do ato",5 anos,"Guarda
Permanente",
442,442          ,442          ,442           PLANEJAMENTO E ORGANIZAÇÃO CURRICULAR,,,,
,,,,,,,
442,4421         ,442.1        ,442.1         REFORMULAÇÃO CURRICULAR,Enquanto vigora,-,"Guarda
Permanente",
442,4422         ,442.2        ,442.2         DISCIPLINAS: PROGRAMAS DIDÁTICOS,Enquanto vigora,-,"Guarda
Permanente",
443,443          ,443          ,443            PLANEJAMENTO DA ATIVIDADE ESCOLAR,Enquanto vigora,-,"Guarda
Permanente",
444,444          ,444          ,444           CONSELHOS DE CLASSE,     5 anos,15 anos,"Guarda
Permanente","A produção, manuseio, consulta, transmissão, manutenção  e guarda de dados, documentos e informações relativos à vida privada, à honra e a imagem dos alunos deverão observar medidas especiais de segurança,
conforme legislação em vigor."
445,445          ,445          ,445           VIDA ESCOLAR DOS ALUNOS DO ENSINO MÉDIO,,,,
445,4451         ,445.1        ,445.1         INGRESSO,,,,
445,44511        ,445.11       ,445.11        PROCESSO DE SELEÇÃO,,,,
445,445111       ,445.111      ,445.111       PLANEJAMENTO. ORIENTAÇÕES,"Até a homologação
   do                    evento",1 ano,"Guarda
Permanente",
445,445112       ,445.112      ,445.112       INSCRIÇÕES,"Até a homologação
   do               evento *",1 ano,    Eliminação,"*Aguardar o término da ação, no caso de ação judicial."
445,445113       ,445.113      ,445.113       CONTROLE DE APLICAÇÃO DE PROVAS,"Até a homologação
       do            evento*   ",1 ano,   Eliminação,"*Aguardar o término da ação, no caso de ação judicial."
445,445114       ,445.114      ,445.114        CORREÇÃO DE PROVAS,"Até a homologação
do
evento*",1 ano,   Eliminação,"*Aguardar o término da ação, no caso de
ação judicial."
445,445115       ,445.115      ,445.115       RECURSOS,"Até a homologação
do
      evento*",1 ano,"Guarda
Permanente","*Aguardar o término da ação, no caso de ação judicial.
Eliminar os documentos após 2 anos do indeferimento."
445,445116       ,445.116      ,445.116       RESULTADOS,"Até a homologação
  do   evento*",1 ano,"Guarda
  Permanente","*Aguardar o término da ação, no caso de ação judicial."
445,44512        ,445.12       ,445.12        TRANSFERÊNCIA,,,,
445,44519        ,445.19       ,"445.19        OUTRAS FORMAS DE INGRESSO MANDADO JUDICIAL
REINTEGRAÇÃO",      5 anos,-,"Guarda
Permanente",Eliminar os documentos após 2 anos do indeferimento.
445,4452         ,445.2        ,445.2         REGISTRO ESCOLAR,,,,
445,44521        ,445.21       ,445.21        MATRÍCULA,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",5 anos,    Eliminação,Eliminar os documentos após 2 anos do indeferimento.
445,445211       ,445.211      ,"445.211       CANCELAMENTO DE MATRÍCULA: POR DESISTÊNCIA
(VOLUNTÁRIA) OU POR JUBILAÇÃO (COMPULSÓRIA)",      5 anos,25 anos,   Eliminação,
445,4453         ,445.3        ,445.3         AVALIAÇÃO ESCOLAR,,,,
445,44531        ,445.31       ,445.31        PROVAS. EXAMES. TRABALHOS," Devolução
ao aluno após os registros das notas.",-,-,Eliminar os documentos não devolvidos ao final do ano letivo.
445,44532        ,445.32       ,"445.32        REGISTRO DE CONTEÚDO PROGRAMÁTICO MINISTRADO,
RENDIMENTO E FREQUÊNCIA",    10 anos,10 anos,   Eliminação,
445,4454         ,445.4        ,445.4         DOCUMENTAÇÃO ESCOLAR,,,,
445,44541        ,445.41       ,445.41        HISTÓRICO ESCOLAR,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",5 anos," Guarda
Permanente","Eliminar as versões parciais, cujas informações encontram-se recapituladas na versão integral do histórico escolar."
445,44542        ,445.42       ,445.42        EMISSÃO DE CERTIFICADO,,,,
445,445421       ,445.421      ,445.421       EXPEDIÇÃO,      5 anos,5 anos,   Eliminação,"No caso das instituições de ensino que utilizam os assentamentos individuais para formação do processo de registro de certificados, utilizar os prazos e a destinação dos assentamentos
individuais."
445,445422       ,445.422      ,445.422       REGISTRO,      5 anos,5 anos," Guarda
    Permanente",Eliminar os certificados não entregues 2 anos após a emissão.
445,44543        ,445.43       ,"445.43        ASSENTAMENTOS INDIVIDUAIS DOS ALUNOS (DOSSIÊS
DOS ALUNOS)","Enquanto o aluno
mantiver o vínculo com a instituição de ensino",*,    Eliminação,*O prazo total de guarda dos documentos é de 100 anos.
445,4455         ,445.5        ,445.5         REGIME DE EXERCÍCIO DOMICILIAR,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",2 anos,   Eliminação,
445,4456         ,445.6        ,445.6         MONITORIAS. ESTÁGIOS NÃO OBRIGATÓRIOS,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",52 anos,  Eliminação,
445,4457         ,445.7        ,"445.7         REGIME DISCIPLINAR DOS ALUNOS: PENALIDADES
(ADVERTÊNCIA OU REPREENSÃO, SUSPENSÃO EXPULSÃO)","Até a conclusão do
        caso",15 anos,"Guarda
Permanente","A produção, manuseio, consulta, transmissão, manutenção e guarda de dados, documentos e informações relativos à vida privada, à honra e a imagem dos alunos deverão observar medidas especiais de segurança, conforme legislação em vigor."
445,4459         ,445.9        ,445.9         OUTROS ASSUNTOS REFERENTES À VIDA ESCOLAR DOS ALUNOS DO ENSINO MÉDIO,,,,
445,44591        ,445.91       ,445.91        FORMATURA,      5  anos,-,  Eliminação,
450,450          ,450          ,450            ENSINO TÉCNICO,,,,
451,451          ,451          ,"451           CONCEPÇÃO, ORGANIZAÇÃO E FUNCIONAMENTO DO ENSINO TÉCNICO",,,,
451,4511         ,451.1        ,451.1         PROJETO PEDAGÓGICO,Enquanto vigora,-,"Guarda
Permanente",
,,,,,,,
451,4512         ,451.2        ,"451.2         CRIAÇÃO E RECONHECIMENTO DE CURSO. AUTORIZAÇÃO
PARA FUNCIONAMENTO",Até a homologação    do ato,5  anos,"Guarda
Permanente",
452,452          ,452          ,452           PLANEJAMENTO E ORGANIZAÇÃO CURRICULAR,,,,
452,4521         ,452.1        ,"452.1         ESTRUTURA DO CURRÍCULO (GRADE OU MATRIZ
CURRICULAR)",Enquanto vigora,-,"Guarda
Permanente",
452,4522         ,452.2        ,452.2          REFORMULAÇÃO CURRICULAR,Enquanto vigora,-,"Guarda
Permanente",
452,4523         ,452.3        ,452.3          DISCIPLINAS: PROGRAMAS DIDÁTICOS,Enquanto vigora,-,"Guarda
Permanente",
452,45231        ,452.31       ,452.31         OFERTA DE DISCIPLINAS,     5 anos,5 anos,   Eliminação,
452,45232        ,452.32       ,452.32        ESTÁGIOS OBRIGATÓRIOS,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",52 anos,   Eliminação,
453,453          ,453          ,453           PLANEJAMENTO DA ATIVIDADE ESCOLAR,Enquanto vigora,-,"Guarda
Permanente",
454,454          ,454          ,454           CONSELHOS DE CLASSE,     5 anos,15 anos,"Guarda
Permanente","A produção, manuseio, consulta, transmissão, manutenção e guarda de dados, documentos e informações relativos à vida privada, à honra e a imagem dos alunos deverão observar medidas especiais de segurança, conforme legislação em vigor."
455,455          ,455          ,455           COLAÇÃO DE GRAU. FORMATURA,     5 anos,-,  Eliminação,
455,4551         ,455.1        ,455.1         TERMO OU ATA DE COLAÇÃO DE GRAU,     5 anos,-,"Guarda
Permanente",
456,456          ,456          ,456           VIDA ESCOLAR DOS ALUNOS DO ENSINO TÉCNICO,,,,
456,4561         ,456.1        ,456.1         INGRESSO,,,,
456,45611        ,456.11       ,456.11        PROCESSO DE SELEÇÃO,,,,
456,456111       ,456.111      ,456.111       PLANEJAMENTO. ORIENTAÇÕES,"Até a homologação
  do
      evento",1 ano,"Guarda
Permanente",
456,456112       ,456.112      ,456.112       INSCRIÇÕES,"Até a homologação
do          evento *",1 ano,   Eliminação,"*Aguardar o término da ação, no caso de ação judicial."
,,,,,,,
456,456113       ,456.113      ,456.113       CONTROLE DE APLICAÇÃO DE PROVAS,"Até a homologação
do                evento*",1 ano,  Eliminação,"*Aguardar o término da ação, no caso de ação judicial."
456,456114       ,456.114      ,456.114       CORREÇÃO DE PROVAS,"Até a homologação
do
       evento*",1 ano,   Eliminação,"*Aguardar o término da ação, no caso de ação judicial."
456,456115       ,456.115      ,456.115       RECURSOS,"Até a homologação
do
       evento*",1 ano,"Guarda
Permanente","*Aguardar o término da ação, no caso de ação judicial.
Eliminar os documentos após 2 anos do indeferimento."
456,456116       ,456.116      ,456.116       RESULTADOS,"Até a homologação
do
      evento*",1 ano,"Guarda
Permanente","*Aguardar o término da ação, no caso de ação judicial."
456,45612        ,456.12       ,456.12        TRANSFERÊNCIA,,,,
456,456121       ,456.121      ,456.121       TRANSFERÊNCIA VOLUNTÁRIA OU FACULTATIVA,     5 anos,-,"Guarda
Permanente",Eliminar os documentos após 2 anos do indeferimento.
456,456122       ,456.122      ,456.122       TRANSFERÊNCIA EX OFFICIO,     5 anos,-,"Guarda
Permanente",
456,45619        ,456.19       ,"456.19         OUTRAS FORMAS DE INGRESSO MANDADO JUDICIAL
REINTEGRAÇÃO",     5 anos,-,"Guarda
Permanente",Eliminar os documentos após 2 anos do indeferimento.
456,4562         ,456.2        ,456.2         REGISTRO ESCOLAR,,,,
456,45621        ,456.21       ,456.21        MATRÍCULA,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",5 anos,   Eliminação,Eliminar os documentos após 2 anos do indeferimento.
456,456211       ,456.211      ,"456.211       CANCELAMENTO DE MATRÍCULA: POR DESISTÊNCIA
(VOLUNTÁRIA) OU POR JUBILAÇÃO (COMPULSÓRIA)",      5 anos,25 anos,  Eliminação,
456,45622        ,456.22       ,"456.22        ISENÇÃO DE DISCIPLINAS. DISPENSA DE DISCIPLINAS.
APROVEITAMENTO DE ESTUDOS","Enquanto o aluno
mantiver o vínculo com a instituição de ensino",5 anos,  Eliminação,Eliminar os documentos após 2 anos do indeferimento.
456,45623        ,456.23       ,456.23        TRANCAMENTO,"Enquanto o aluno
mantiver o vínculo com a instituição de ensino",10 anos,  Eliminação,
456,4563         ,456.3        ,456.3         AVALIAÇÃO ESCOLAR,,,,
456,45631        ,456.31       ,"456.31        PROVAS. EXAMES. TRABALHOS. RELATÓRIOS DE
ESTÁGIOS","Devolução ao aluno
após o registro das notas",-,-,Eliminar os documentos não devolvidos ao final do ano letivo.
